,algorithm,rand_setting,LPO_LCO_LDO,CV_split,MSE,RMSE,MAE,R^2,Pearson,Spearman,Kendall,Spearman: normalized,Pearson: normalized,Kendall: normalized,R^2: normalized
MultiOmicsRandomForest_randomize-SVRC-mutations_LCO_split_3,MultiOmicsRandomForest,randomize-SVRC-mutations,LCO,3,1.7422112157891139,1.3199284888921496,0.8914890030901381,0.7299984792315634,0.8549681512810785,0.8483548406416276,0.6775269664360852,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LCO_split_2,MultiOmicsRandomForest,randomize-SVRC-mutations,LCO,2,1.7812836043397662,1.3346473707836712,0.8917771281535941,0.710087552182556,0.8427952514654486,0.8396312499849397,0.6678017206231657,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LCO_split_3,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LCO,3,1.7021345965866475,1.3046588046637508,0.8781181213537285,0.7362094070650307,0.8585277048745439,0.852990557193799,0.6829093145607454,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LCO_split_1,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LCO,1,1.8460729375897142,1.3587026671018623,0.9171227329882566,0.7182988105770363,0.8481185018577949,0.843111943233063,0.6708915609690566,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LCO_split_0,MultiOmicsRandomForest,randomize-SVRC-mutations,LCO,0,1.5962989625810804,1.2634472535808847,0.861467198301699,0.7537571413899589,0.8698190995676844,0.8591795790013714,0.6900716956707647,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LCO_split_1,MultiOmicsRandomForest,randomize-SVRC-mutations,LCO,1,1.847842051756241,1.3593535418559224,0.923265475764747,0.71802885289834,0.8478585116612217,0.8428202590853788,0.6696438332055034,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LCO_split_0,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LCO,0,1.5653313937924054,1.2511320449066938,0.8506339397358446,0.7585341554966376,0.8724149864332271,0.8626562081350886,0.6939279624088417,,,,
MultiOmicsRandomForest_randomize-SVRC-copy-number-variation-gistic_LCO_split_2,MultiOmicsRandomForest,randomize-SVRC-copy-number-variation-gistic,LCO,2,1.7767462663999551,1.3329464604401615,0.8901903467616585,0.7108260256886842,0.8432156470911085,0.8398430280590607,0.6680895818666825,,,,
MultiOmicsRandomForest_randomize-SVRC-methylation_LCO_split_9,MultiOmicsRandomForest,randomize-SVRC-methylation,LCO,9,1.6148237525563185,1.2707571571926395,0.8479852827105616,0.7549650286096943,0.8698364434966716,0.8687030589966112,0.7021303725131969,,,,
MultiOmicsRandomForest_randomize-SVRC-methylation_LCO_split_8,MultiOmicsRandomForest,randomize-SVRC-methylation,LCO,8,1.671958453066393,1.2930423245456402,0.8534160581527122,0.7455521808554209,0.8653198797711431,0.8649209376145084,0.6973187954804974,,,,
MultiOmicsRandomForest_randomize-SVRC-copy-number-variation-gistic_LCO_split_3,MultiOmicsRandomForest,randomize-SVRC-copy-number-variation-gistic,LCO,3,1.7483351667960063,1.3222462580003795,0.8936289806653848,0.7290494117074955,0.854367069213241,0.8470876982001136,0.6761705552611106,,,,
MultiOmicsRandomForest_randomize-SVRC-copy-number-variation-gistic_LCO_split_1,MultiOmicsRandomForest,randomize-SVRC-copy-number-variation-gistic,LCO,1,1.8600619675510173,1.363840887915822,0.9254414668315629,0.7161641569028874,0.8467334130984847,0.8405773330802602,0.6678781038966711,,,,
MultiOmicsRandomForest_randomize-SVRC-copy-number-variation-gistic_LCO_split_0,MultiOmicsRandomForest,randomize-SVRC-copy-number-variation-gistic,LCO,0,1.5851006082851942,1.2590077872218242,0.8575849177918728,0.7554845839544071,0.8709574706760423,0.8606686933709115,0.6916975817093419,,,,
MultiOmicsRandomForest_randomize-SVRC-copy-number-variation-gistic_LCO_split_4,MultiOmicsRandomForest,randomize-SVRC-copy-number-variation-gistic,LCO,4,1.7577726444037551,1.3258101841529786,0.9086246381585795,0.7284036092715755,0.8542147096339132,0.8414146856365747,0.6700579575754002,,,,
MultiOmicsRandomForest_randomize-SVRC-copy-number-variation-gistic_LCO_split_5,MultiOmicsRandomForest,randomize-SVRC-copy-number-variation-gistic,LCO,5,1.8986018467224814,1.3778976183746314,0.928622271441353,0.7044142420158885,0.8401146508941613,0.8329946956679622,0.6607784716266073,,,,
MultiOmicsRandomForest_randomize-SVRC-copy-number-variation-gistic_LCO_split_7,MultiOmicsRandomForest,randomize-SVRC-copy-number-variation-gistic,LCO,7,1.7456051441258598,1.3212135119373627,0.8979753483083743,0.7283259283416812,0.8558769100149763,0.8417350425540548,0.6716877031511609,,,,
MultiOmicsRandomForest_randomize-SVRC-copy-number-variation-gistic_LCO_split_6,MultiOmicsRandomForest,randomize-SVRC-copy-number-variation-gistic,LCO,6,1.9805761180957295,1.4073294277089958,0.9376876709802493,0.6987581995412591,0.8364995137755613,0.8352472825227301,0.6625399624992344,,,,
MultiOmicsRandomForest_randomize-SVRC-methylation_LCO_split_0,MultiOmicsRandomForest,randomize-SVRC-methylation,LCO,0,1.5725755936790542,1.2540237612099119,0.8517148537930755,0.7574166752938399,0.8721451575047421,0.8608897049480042,0.6924629689618408,,,,
MultiOmicsRandomForest_randomize-SVRC-methylation_LCO_split_1,MultiOmicsRandomForest,randomize-SVRC-methylation,LCO,1,1.8348451066733937,1.3545645450377748,0.9176552614251542,0.7200121195473183,0.8494583667999684,0.8427901646218133,0.6705951430831998,,,,
MultiOmicsRandomForest_randomize-SVRC-copy-number-variation-gistic_LCO_split_8,MultiOmicsRandomForest,randomize-SVRC-copy-number-variation-gistic,LCO,8,1.6745899878142174,1.2940594993330938,0.8557177762906463,0.7451516994461136,0.8644770288241711,0.864003750042455,0.6963364194475461,,,,
MultiOmicsRandomForest_randomize-SVRC-methylation_LCO_split_3,MultiOmicsRandomForest,randomize-SVRC-methylation,LCO,3,1.7359498424188688,1.3175544931496643,0.8885935854316963,0.7309688439707775,0.8555018747969061,0.8486148838663972,0.6778077939502485,,,,
MultiOmicsRandomForest_randomize-SVRC-methylation_LCO_split_2,MultiOmicsRandomForest,randomize-SVRC-methylation,LCO,2,1.7805207799114313,1.3343615626626208,0.8853118230432868,0.710211705515992,0.8429925663220633,0.8408740660538928,0.6694815831579226,,,,
MultiOmicsRandomForest_randomize-SVRC-copy-number-variation-gistic_LCO_split_9,MultiOmicsRandomForest,randomize-SVRC-copy-number-variation-gistic,LCO,9,1.6345924345581027,1.278511804622117,0.854667483661998,0.751965309029732,0.868024148873493,0.8663414444941349,0.6994003044787321,,,,
MultiOmicsRandomForest_randomize-SVRC-methylation_LCO_split_6,MultiOmicsRandomForest,randomize-SVRC-methylation,LCO,6,1.9712747742837144,1.4040209308567,0.9272535753490605,0.700172915961909,0.8369784392211403,0.8362683479582531,0.6645203285469707,,,,
MultiOmicsRandomForest_randomize-SVRC-methylation_LCO_split_7,MultiOmicsRandomForest,randomize-SVRC-methylation,LCO,7,1.7186206958404284,1.3109617446136361,0.8858419634175911,0.7325256037160499,0.8572524621385131,0.843797668958732,0.6746819800084515,,,,
MultiOmicsRandomForest_randomize-SVRC-methylation_LCO_split_5,MultiOmicsRandomForest,randomize-SVRC-methylation,LCO,5,1.883307800658967,1.37233662075271,0.9227665669450241,0.7067953111200465,0.8423566937878809,0.8347661341535593,0.6632608912193717,,,,
MultiOmicsRandomForest_randomize-SVRC-methylation_LCO_split_4,MultiOmicsRandomForest,randomize-SVRC-methylation,LCO,4,1.7466732194819807,1.3216176525311625,0.8999350768300413,0.730118599977292,0.8560361698291632,0.8431495837259265,0.6725105508306973,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LCO_split_0,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LCO,0,1.7794480310093037,1.3339595312487196,0.9183908644318347,0.7255048207290408,0.8530117979342147,0.8448077559988133,0.6703056241247844,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LCO_split_1,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LCO,1,2.0275596927808954,1.4239240474059336,0.9645551460724427,0.6906048696926526,0.8317341322728697,0.8271957189421745,0.6518690069800467,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LCO_split_3,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LCO,3,1.8560012196073987,1.3623513568853662,0.9268516583608846,0.7123637207127651,0.8448772552726669,0.8397928356621025,0.6658814142528183,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LCO_split_2,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LCO,2,1.8896773914105192,1.3746553718698076,0.9231316902633346,0.6924459435912433,0.8324537179896128,0.8305010216030791,0.6568245964420605,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LCO_split_6,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LCO,6,2.099149134564881,1.4488440684093238,0.9684951069920807,0.6807234728571192,0.8252787145659981,0.8248974371165952,0.6499219647284907,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LCO_split_7,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LCO,7,1.8933943921627991,1.3760066831824616,0.9468364632893195,0.70532501837265,0.8408090172297281,0.8246003169351426,0.6499115923389006,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LCO_split_8,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LCO,8,1.6512359196393076,1.2850042488798656,0.846799886995134,0.7487058497925898,0.8664158066310688,0.8663256649418501,0.6994429987506263,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LCO_split_9,MultiOmicsRandomForest,randomize-SVRC-mutations,LCO,9,1.6360397872869623,1.279077709635721,0.8582283774018806,0.7517456862789852,0.86822768843425,0.8667206845149781,0.6993643747530349,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LCO_split_5,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LCO,5,2.008846827804901,1.4173379370513235,0.949400887092004,0.6872506400982747,0.830759294681888,0.8279493234287563,0.6550396156233048,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LCO_split_4,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LCO,4,1.8853371268358512,1.3730757906378843,0.9473380056030559,0.7086934077708298,0.8421863957900921,0.8303803828504501,0.6559600681768284,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LCO_split_8,MultiOmicsRandomForest,randomize-SVRC-mutations,LCO,8,1.6623312864870883,1.2893142698687114,0.8545619053997717,0.7470172959341795,0.8655400056036942,0.864766499410722,0.6971953422558903,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LCO_split_9,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LCO,9,1.6099748158692624,1.26884783006839,0.8490460482119113,0.7557008111125868,0.8701006779278336,0.8681132746508826,0.7008052510849433,,,,
MultiOmicsRandomForest_predictions_LCO_split_3,MultiOmicsRandomForest,predictions,LCO,3,1.714197402865799,1.309273616501073,0.8825324328587306,0.7343399574767207,0.8573485840465512,0.8497688035402742,0.6793631603183363,0.392748442417766,0.4087528473278444,0.28046036419768566,0.1669238056022898
MultiOmicsRandomForest_predictions_LCO_split_2,MultiOmicsRandomForest,predictions,LCO,2,1.7573674846481582,1.3256573783026133,0.8822729653980754,0.7139800153395719,0.8450935340267776,0.842508486665952,0.6713479688940661,0.3714672582965534,0.36333225696528804,0.2636252245193778,0.1316871602146501
MultiOmicsRandomForest_predictions_LCO_split_0,MultiOmicsRandomForest,predictions,LCO,0,1.5613803173896577,1.2495520466909962,0.8513798528929328,0.7591436430492864,0.8727703586338441,0.8620875791990896,0.6934908090222162,0.4309767507408314,0.461349566080154,0.3083789804284178,0.20912062161001999
MultiOmicsRandomForest_predictions_LCO_split_1,MultiOmicsRandomForest,predictions,LCO,1,1.8240222006604936,1.3505636603509268,0.9134919998802115,0.7216636390700667,0.8501308104466713,0.8451232909674408,0.673188675226096,0.3997675312117832,0.4137757469666353,0.28498596900556183,0.16930637732135234
MultiOmicsRandomForest_predictions_LCO_split_5,MultiOmicsRandomForest,predictions,LCO,5,1.8818629550571544,1.3718101016748472,0.9214245157341214,0.7070202533759065,0.8418275346025351,0.8341177047264979,0.6628604457782729,0.3000115845649988,0.3300285153794349,0.2109131972151093,0.09953332075036392
MultiOmicsRandomForest_predictions_LCO_split_4,MultiOmicsRandomForest,predictions,LCO,4,1.7351740570068315,1.3172600567112143,0.899109428658698,0.7318953548008429,0.8563318466550853,0.8440218157405712,0.6730262201530341,0.4162852247379197,0.4153187035880105,0.2978694027957786,0.16794520457715767
MultiOmicsRandomForest_predictions_LCO_split_6,MultiOmicsRandomForest,predictions,LCO,6,1.9488412350218622,1.3960090383023536,0.9247680539521071,0.7035850139348967,0.8392197293997892,0.8388818335642427,0.6673234065703786,0.39431135194497363,0.3820698266411632,0.2815771698864898,0.14406846172903387
MultiOmicsRandomForest_predictions_LCO_split_7,MultiOmicsRandomForest,predictions,LCO,7,1.709718119261487,1.3075618988260123,0.886470562362185,0.7339111399786977,0.8586220922187389,0.8448465172725632,0.6758492533326061,0.4593881952214003,0.4182136607999545,0.32882679274430027,0.16616519629455018
MultiOmicsRandomForest_predictions_LCO_split_9,MultiOmicsRandomForest,predictions,LCO,9,1.5965621244408945,1.2635513936682174,0.8428358338887126,0.7577360663255562,0.8713734615987362,0.8707094265562998,0.7044287955239965,0.5322274315419234,0.5103283999507754,0.38621978571728677,0.25401840201307524
MultiOmicsRandomForest_predictions_LCO_split_8,MultiOmicsRandomForest,predictions,LCO,8,1.620319711379374,1.2729177944311147,0.8407006199423278,0.7534108481455886,0.8691536878852295,0.8688555137445219,0.7021875605629662,0.47125335514487726,0.457091388041745,0.3361015052398246,0.20546186083638363
NaivePredictor_predictions_LCO_split_3,NaivePredictor,predictions,LCO,3,6.454447329766777,2.5405604361571044,1.9601479923482974,-0.00028663514685534075,0.0,0.0,0.0,-0.022887909946286807,-0.0034445022193935974,-0.01459532580993741,-2.1685177737005783
NaivePredictor_predictions_LCO_split_2,NaivePredictor,predictions,LCO,2,6.163719163362995,2.482683862952147,1.9290087973879837,-0.0031748487193781205,0.0,0.0,0.0,0.025228646500730405,0.03638326208720506,0.018691335519700744,-2.0918140822133315
NaivePredictor_predictions_LCO_split_0,NaivePredictor,predictions,LCO,0,6.483004413538098,2.5461744664374626,1.9732344655392704,-5.924741685037205e-05,0.0,0.0,0.0,-0.012861439631870579,-0.007326529391293965,-0.00806647666100143,-2.354550002604408
NaivePredictor_predictions_LCO_split_1,NaivePredictor,predictions,LCO,1,6.556051704608705,2.5604788037803994,1.9750354084089592,-0.0004196072111963822,0.0,0.0,0.0,-0.00264529355404351,0.022939984744582254,-0.00011896176823738197,-1.9803071077723042
NaivePredictor_predictions_LCO_split_5,NaivePredictor,predictions,LCO,5,6.428368575719349,2.535422760748067,1.9477699916952367,-0.000807094618290094,0.0,0.0,0.0,-0.0182421567926732,0.010956044950862713,-0.011502774748171938,-2.1108753192227434
NaivePredictor_predictions_LCO_split_4,NaivePredictor,predictions,LCO,4,6.473081818559899,2.544225190221946,1.9660257574698534,-0.0001666964199449339,0.0,0.0,0.0,-0.0039430471679816545,0.01613723973085988,-0.0011100063174732278,-2.141459706401353
NaivePredictor_predictions_LCO_split_6,NaivePredictor,predictions,LCO,6,6.592304450411918,2.5675483345814385,2.001638217698052,-0.0026767684766517696,0.0,0.0,0.0,0.007002822467594651,0.02228800555685731,0.006626275267509666,-1.8953416972051653
NaivePredictor_predictions_LCO_split_7,NaivePredictor,predictions,LCO,7,6.453119774226841,2.5402991505385426,1.9762645800046275,-0.004319522007900867,0.0,0.0,0.0,-0.013407829071646633,0.0009657333273696796,-0.006008499818967824,-2.147206431054522
NaivePredictor_predictions_LCO_split_9,NaivePredictor,predictions,LCO,9,6.595002614054688,2.5680737166317265,1.9839429797029506,-0.0007322931036231051,0.0,0.0,0.0,-0.030182732345515908,-0.0022613698609524526,-0.01939478322083461,-2.110633296031461
NaivePredictor_predictions_LCO_split_8,NaivePredictor,predictions,LCO,8,6.595110755188818,2.568094771457786,1.9703510093760557,-0.0036801725527781937,0.0,0.0,0.0,-0.02748220107312908,-0.011045536929557846,-0.017450811394740456,-2.2758612616749416
NaiveMeanEffectsPredictor_predictions_LDO_split_3,NaiveMeanEffectsPredictor,predictions,LDO,3,9.795581294070722,3.129789337011474,2.4735914856717947,0.003619731571353757,0.22496332677004022,0.21745945968122632,0.14591226252680017,0.0,0.0,0.0,-0.048745599107673954
NaiveMeanEffectsPredictor_predictions_LDO_split_2,NaiveMeanEffectsPredictor,predictions,LDO,2,5.419974450758595,2.3280838581886596,1.828385957648832,0.06700593144315292,0.2605904742101296,0.2459883003764908,0.16601230912490203,0.0,0.0,0.0,-0.0008456560213074837
NaiveMeanEffectsPredictor_predictions_LDO_split_0,NaiveMeanEffectsPredictor,predictions,LDO,0,7.328657706463628,2.7071493690713906,2.1116796391397474,0.04604178499436662,0.23813844808729823,0.2279659784866778,0.15370435664579596,0.0,0.0,0.0,-0.0105550453360157
NaiveMeanEffectsPredictor_predictions_LDO_split_1,NaiveMeanEffectsPredictor,predictions,LDO,1,5.544346563299293,2.354643617046812,1.8562858295720666,0.02015040557081138,0.24491257324722143,0.22122112979521125,0.14860164175001914,0.0,0.0,0.0,-0.04125972187431781
NaiveMeanEffectsPredictor_predictions_LDO_split_5,NaiveMeanEffectsPredictor,predictions,LDO,5,5.228810620609189,2.2866592707723616,1.745279121961912,0.047358410521800676,0.23772559901513804,0.24811592181595973,0.16710819207179714,0.0,0.0,0.0,-0.00689904667798813
NaiveMeanEffectsPredictor_predictions_LDO_split_4,NaiveMeanEffectsPredictor,predictions,LDO,4,6.231757593813262,2.4963488525871664,1.870524432260389,0.05367921025160227,0.23696760824296614,0.24183573715833645,0.1631292446867293,0.0,0.0,0.0,-0.0020025846662778957
NaiveMeanEffectsPredictor_predictions_LDO_split_6,NaiveMeanEffectsPredictor,predictions,LDO,6,7.692536366024501,2.7735422055603376,2.1326650678966637,0.046814745186407714,0.2583461695164838,0.24654808782346965,0.16593056082068855,0.0,0.0,0.0,-0.020359699671603337
NaiveMeanEffectsPredictor_predictions_LDO_split_7,NaiveMeanEffectsPredictor,predictions,LDO,7,4.135279814418963,2.033538741804287,1.5691391306024056,0.07329006940728156,0.273104516060902,0.2769211907060684,0.18695893854620427,0.0,0.0,0.0,-5.668761031762948e-05
NaiveMeanEffectsPredictor_predictions_LDO_split_9,NaiveMeanEffectsPredictor,predictions,LDO,9,4.645506945812395,2.155343811509522,1.6729654472244746,0.08811746573517698,0.32044877873540556,0.32820643176251585,0.22296703901374723,0.0,0.0,0.0,-0.015861895321285235
NaiveMeanEffectsPredictor_predictions_LDO_split_8,NaiveMeanEffectsPredictor,predictions,LDO,8,5.035987364334069,2.244100569122086,1.7511097695918565,0.029332329438306992,0.25643125079796014,0.2789719587258738,0.18872938740678089,0.0,0.0,0.0,-0.03946560175477787
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LDO_split_4,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LDO,4,6.695657114199128,2.5875967835424296,1.9303704818973202,-0.016766045984179856,0.2824943701417506,0.2576615763528525,0.17461626399807426,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LDO_split_5,MultiOmicsRandomForest,randomize-SVRC-mutations,LDO,5,4.92434118742056,2.2190856647323374,1.7186308591039314,0.10282996339027106,0.3757837410039615,0.3288819089932405,0.2240531803329922,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LDO_split_9,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LDO,9,5.1244847063134875,2.263732472337111,1.7416096089738737,-0.005902726075309062,0.3301963664829156,0.3148332653075429,0.21747382796915252,,,,
MultiOmicsRandomForest_randomize-SVRC-gene-expression_LDO_split_8,MultiOmicsRandomForest,randomize-SVRC-gene-expression,LDO,8,4.13248109541326,2.032850485257895,1.5492601640549641,0.20347977301657716,0.4526092101210025,0.43706086251890275,0.29845656965826317,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LDO_split_4,MultiOmicsRandomForest,randomize-SVRC-mutations,LDO,4,8.674810435388379,2.9453031143480595,2.0970376016304653,-0.3173094971287429,-0.030119588049897776,0.07162502395211602,0.053024915804389644,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LDO_split_5,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LDO,5,5.6047413959380785,2.367433504016127,1.7902289200369732,-0.021132746899647614,0.24609291221886054,0.2932176457705874,0.19216729115706987,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LDO_split_7,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LDO,7,5.0123624584174085,2.2388306006523604,1.7312423754115962,-0.12326282002713795,0.10333124221494365,0.11392436442613017,0.07779476455564485,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LDO_split_6,MultiOmicsRandomForest,randomize-SVRC-mutations,LDO,6,6.918571275818072,2.630317713854749,1.9964638466769329,0.142717068766387,0.41726952581192706,0.4121932736672248,0.27867790266969633,,,,
MultiOmicsRandomForest_randomize-SVRC-mutations_LDO_split_7,MultiOmicsRandomForest,randomize-SVRC-mutations,LDO,7,5.084650347338588,2.2549169269262643,1.6859247375911666,-0.13946242622821248,0.2027026219346762,0.1830278873250102,0.12368365422806046,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LDO_split_6,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LDO,6,9.60512937206273,3.099214315284235,2.3312974761363208,-0.19017541840477192,0.06964316486430627,0.04430171688745551,0.03474749627740091,,,,
MultiOmicsRandomForest_randomize-SVRD-fingerprints_LDO_split_2,MultiOmicsRandomForest,randomize-SVRD-fingerprints,LDO,2,5.938708344669337,2.4369465206830734,1.881588395871746,-0.022288889145970048,0.19447510510934157,0.16950840979120416,0.11318682203554695,,,,
